dni_pac , fecha_solicitado , fecha_turno , presento , matricula_med
28666552 , 28/3/1981 , 14/6/1981 , 0 , 86-855-1783
28666557 , 24/5/2001 , 6/6/2001 , 1 , 06-445-0805
18902831 , 13/1/2004 , 2/9/2004 , 1 , 49-626-8557
18902837 , 10/11/1991 , 23/12/1991 , 0 , 08-944-6118
43963884 , 2/8/1997 , 29/9/1997 , 1 , 10-246-2532
34452828 , 17/6/1984 , 9/8/1984 , 0 , 43-282-5362
34452822 , 19/11/2018 , 12/10/2018 , 0 , 20-106-1058
10242590 , 14/5/1972 , 19/5/1972 , 1 , 85-623-3585
38852820 , 18/4/1986 , 6/10/1986 , 1 , 48-648-3925
23302835 , 27/10/1993 , 19/1/1994 , 1 , 78-087-2542
23302833 , 8/8/1997 , 10/8/1997 , 0 , 73-641-3487
23302835 , 28/5/2013 , 18/8/2013 , 0 , 83-397-1896
18902834 , 8/1/1984 , 28/1/1984 , 0 , 19-906-2636
28666555 , 30/7/2007 , 9/3/2007 , 0 , 12-088-4730
14642585 , 15/3/1970 , 4/9/1970 , 0 , 38-776-3777
43963883 , 6/9/1988 , 10/10/1988 , 0 , 28-069-3144
48363881 , 4/1/2018 , 3/3/2018 , 0 , 38-776-3777
18902832 , 5/1/1976 , 16/1/1976 , 1 , 09-905-8721
18902833 , 6/1/1970 , 4/2/1970 , 0 , 56-707-9622
10242585 , 28/5/1976 , 24/8/1976 , 1 , 73-641-3487
24266554 , 8/1/1970 , 2/5/1970 , 1 , 09-905-8721
24266560 , 26/2/1984 , 16/4/1984 , 0 , 18-969-4799
34452824 , 3/8/1971 , 9/11/1971 , 1 , 08-944-6118
18902833 , 16/5/2009 , 29/7/2009 , 1 , 03-957-5455
38852820 , 11/4/2012 , 28/5/2012 , 0 , 11-089-2367
28666560 , 19/12/1983 , 2/9/1984 , 0 , 11-089-2367
14642587 , 4/12/1992 , 1/12/1993 , 0 , 79-773-0308
28666560 , 26/8/1970 , 14/10/1970 , 0 , 78-087-2542
28666557 , 2/7/2009 , 7/9/2009 , 0 , 73-641-3487
28666560 , 21/12/2020 , 1/3/2021 , 1 , 10-625-2635
34452828 , 6/8/1977 , 9/3/1977 , 0 , 79-773-0308
23302830 , 4/7/1991 , 13/7/1991 , 0 , 87-314-3002
38852821 , 14/3/2014 , 25/5/2014 , 0 , 87-079-3429
43963884 , 1/8/2013 , 13/10/2013 , 0 , 06-445-0805
10242589 , 12/10/1971 , 22/10/1971 , 1 , 66-885-1601
28666553 , 4/7/1982 , 18/9/1982 , 0 , 73-641-3487
34452826 , 23/3/1991 , 16/5/1991 , 1 , 18-969-4799
14642582 , 26/1/2014 , 17/2/2014 , 1 , 51-644-9729
10242582 , 7/12/1973 , 15/1/1974 , 0 , 87-079-3429
28666558 , 18/1/1992 , 23/1/1992 , 0 , 15-226-4713
28666552 , 13/2/1984 , 5/2/1984 , 1 , 38-753-2321
38852821 , 26/11/1991 , 30/12/1991 , 0 , 84-678-1961
34452821 , 13/11/2002 , 27/11/2002 , 0 , 10-544-1336
10242591 , 15/2/1970 , 16/5/1970 , 1 , 38-753-2321
24266561 , 18/6/2022 , 9/10/2022 , 1 , 20-106-1058
24266557 , 6/1/1972 , 27/3/1972 , 0 , 12-566-1323
18902830 , 13/9/1976 , 30/9/1976 , 1 , 87-314-3002
23302833 , 18/9/2001 , 27/9/2001 , 1 , 76-093-4361
18902829 , 2/1/1970 , 16/2/1970 , 0 , 79-773-0308
10242586 , 17/7/1970 , 8/3/1970 , 0 , 46-148-9236
18902833 , 10/5/2015 , 14/6/2015 , 0 , 42-106-6046
28666559 , 26/1/2008 , 3/1/2008 , 0 , 83-397-1896
43963881 , 9/11/2020 , 1/10/2021 , 1 , 66-885-1601
10242590 , 1/8/1991 , 26/9/1991 , 1 , 10-625-2635
43963884 , 9/5/1970 , 16/7/1970 , 1 , 18-969-4799
34452828 , 19/5/1974 , 18/7/1974 , 0 , 56-707-9622
23302836 , 15/12/1989 , 22/12/1989 , 0 , 10-625-2635
24266554 , 22/5/1973 , 14/7/1973 , 1 , 12-566-1323
18902829 , 10/11/1992 , 13/12/1992 , 1 , 87-079-3429
24266559 , 15/4/1995 , 26/6/1995 , 1 , 09-905-8721
34452825 , 26/10/1972 , 19/11/1972 , 0 , 98-721-1083
10242583 , 14/1/1970 , 19/3/1970 , 1 , 10-246-2532
24266553 , 7/2/2006 , 14/3/2006 , 1 , 19-906-2636
24266559 , 12/12/2004 , 1/8/2005 , 1 , 66-479-9156
10242583 , 26/11/1972 , 1/11/1973 , 0 , 43-282-5362
18902832 , 29/8/2019 , 14/11/2019 , 1 , 08-944-6118
18902831 , 4/7/1974 , 26/9/1974 , 1 , 76-081-9297
34452827 , 20/12/2004 , 20/3/2005 , 0 , 19-906-2636
10242583 , 4/7/2006 , 8/8/2006 , 1 , 09-905-8721
